title,thumbnail,linkUrl,pcLinkUrl,mobileLinkUrl,officeName,rank,hitCount,updatedAt,createdAt,content
"[LCK] '쵸비' 정지훈, 600p로 6위… POG 순위 &lt; 7월 28일 기준 &gt;",https://imgnews.pstatic.net/image/origin/347/2022/07/28/165035.jpg,https://n.news.naver.com/mnews/article/347/0000165035?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165035,https://n.news.naver.com/sports/esports/article/347/0000165035,데일리e스포츠,1,0,2022-07-28T13:52:01,2022-07-28T13:52:01,"'쵸비' 정지훈.   ◆2022 리그 오브 레전드 챔피언스 코리아(LCK) 서머 POG 순위 < 7월 28일 기준 > 순위 이름 아이디 소속 포인트 1위 최우제 Zeus T1 1,000 2위 김하람 Aiming kt 롤스터 900 3위 박재혁 Ruler 젠지 800 4위 허수 ShowMaker 담원 기아 700 4위 이채환 Prince 리브 샌드박스 700 6위 한왕호 Peanut 젠지 600 6위 김건부 Canyon 담원 기아 600 6위 정지훈 Chovy 젠지 600 9위 김건우 Zeka 디알엑스 500 9위 이민형 Gumayusi T1 500 11위 문현준 Oner T1 400 11위 서대길 deokdam 담원 기아 400 11위 황성훈 Kingen 디알엑스 400 11위 김동범 Croco 리브 샌드박스 400 11위 홍창현 Pyosik 디알엑스 400 11위 이주현 Clozer 리브 샌드박스 400 11위 이상혁 Faker T1 400 11위 이동주 DuDu 한화생명 400 19위 이가을 Aria kt 롤스터 300 19위 박진성 Teddy 광동 프릭스 300 19위 김장겸 OnFleek 한화생명 300 19위 유수혁 FATE 광동 프릭스 300 19위 이대광 VicLa kt 롤스터 300 19위 곽보성 Bdd 농심 300 19위 김창동 Canna 농심 300 19위 최현준 Doran 젠지 300 27위 손시우 Lehends 젠지 200 27위 김기인 Kiin 광동 프릭스 200 27위 조건희 BeryL 디알엑스 200 27위 류민석 Keria T1 200 27위 김태훈 Lava 프레딧 200 27위 김형규 Kellin 담원 기아 200 27위 엄성현 Umti 프레딧 200 27위 김광희 Rascal kt 롤스터 200 27위 장하권 Nuguri 담원 기아 200 27위 이진혁 Dread 농심 200 37위 김혁규 Deft 디알엑스 100 37위 김재연 Dove 리브 샌드박스 100 37위 김홍조 Karis 한화생명 100 37위 김진홍 Kael 리브 샌드박스 100 37위 최엘림 Ellim 광동 100 37위 유환중 Delight 프레딧 100"
"[LCK] T1전 앞둔 '리헨즈' 손시우 ""상대 도발 신경 안 써""",https://imgnews.pstatic.net/image/origin/347/2022/07/28/165034.jpg,https://n.news.naver.com/mnews/article/347/0000165034?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165034,https://n.news.naver.com/sports/esports/article/347/0000165034,데일리e스포츠,2,0,2022-07-28T13:47:01,2022-07-28T13:47:01,"젠지e스포츠의 '리헨즈' 손시우가 T1 선수들의 연이은 도발에 신경쓰지 않는다고 밝혔다.  젠지는 28일 서울 종로구 그랑서울 LCK아레나에서 진행된 2022 리그 오브 레전드 챔피언스 코리아 서머 2라운드에서 디알엑스를 2대0으로 제압했다. 손시우는 1세트에서는 라칸, 2세트에서는 레나타 글라스크를 플레이하며 팀 승리를 도왔다.  경기 후 인터뷰에서 손시우는 T1 선수들의 도발에 대한 질문에 ""딱히 신경을 쓰고 있지 않다""며 ""개인적으로 이겨야 하는 상대 그 이상 그 이하도 아니라고 생각한다""고 답했다. 또, ""더 해봐야 알겠지만 제 생각에는 시비르도 떠오르고 있고, 아이템 쪽에도 자잘한 변화가 있어서 영향을 줄 것이라고 생각한다""며 12.13 패치에 대한 생각을 밝히기도 했다.  다음은 손시우와의 일문일답이다. Q, 승리 소감은. A, 2대0으로 이겨서 기분이 좋다. Q, 오늘 빠르게 골드 차이를 벌리는 모습을 보여줬다. 경기력에 만족하는지. A, 딱히 그런 부분은 신경 쓰지 않았고 모난 부분 없이 나쁘지 않았다고 생각한다.  Q, 1세트에서 유미가 밴된 상황에서 제리를 가져갔다. 유미가 없어도 괜찮다고 생각했는지. A, 제리의 단점은 초반에 약하다는 점이다. 그런데 원거리 딜러 밴이 많이 돼서 티어가 나쁘지 않았다고 판단해서 빠르게 선택했다. Q, 2세트 5분 바텀 지역에서 '룰러' 박재혁이 칼리스타로 아슬아슬하게 더블 킬을 기록했다. 어떤 상황이었는지. A, 전혀 아슬아슬하지 않았다.(웃음) 무조건 이겼다고 생각했다. 제가 미드 로밍을 갔었는데 그 이후 제 입장에서는 경우의 수가 집으로 귀환하거나 바텀 라인으로 복귀하는 것이었다. 그런데 그 순간 룰루를 플레이한 '베릴' 조건희가 드래곤 쪽으로 가는 것을 확인했다. 이미 그 전에 조건희의 점멸이 빠진 것을 그전에 알고 있어서 무조건 킬이라고 생각하면서 박재혁과 콜을 주고받았다. Q, 12.13 패치 바텀에서 변화가 있다고 생각하는지. A, 더 해봐야 알겠지만 제 생각에는 시비르도 떠오르고 있고, 아이템 쪽에도 자잘한 변화가 있어서 영향을 줄 것이라고 생각한다. Q, T1 선수들이 젠지전에 자신감을 보이고 있는데. A, 딱히 신경을 쓰고 있지 않다. 선수들이 워낙 에너지가 넘치고 많이 이겨서 그런거라고 생각한다. 개인적으로 이겨야 하는 상대 그 이상 그 이하도 아니라고 생각한다.  Q, 마지막으로 팬들에게 한마디. A, 다음 경기가 T1 전인데 더 높은 곳을 목표로 하기 때문에 어떤 팀이든 다 이겨야 한다고 생각한다. 경기 재밌게 봐주시면 좋겠고 항상 응원해주셔서 감사하다."
[LCK] T1전 1라운드 패배 이유 알고 있다는 ‘쵸비’ “이번에는 승리 가능”,https://imgnews.pstatic.net/image/origin/236/2022/07/28/226070.jpg,https://n.news.naver.com/mnews/article/236/0000226070?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=236&aid=0000226070,https://n.news.naver.com/sports/esports/article/236/0000226070,포모스,3,0,2022-07-28T13:43:01,2022-07-28T13:43:01,"“T1에게 1라운드 패배 이유를 알고 있다. 잘 준비하면 이번에는 이길 수 있다” 28일, 젠지가 압도적인 경기력을 뽐내며 DRX를 상대로 2대 0 승리를 가져갔다. 2세트 POG에 선정된 ‘쵸비’ 정지훈이 승리의 기쁨을 나눴다. 승리 소감으로 “DRX가 강팀이라고 생각했기 때문에 깔끔하게 이길 수 있어 기분 좋다”고 말한 정지훈. 젠지는 상대에게 탈리야를 주고 이를 맞받아쳤다. 정지훈은 “미드는 상성이 정리되어 있다. 조합 컨셉을 맞출수도 있었기 때문에 어떤 챔피언을 주더라도 상관 없었다”며 상대에게 탈리야를 허용한 이유를 밝혔다. 젠지는 1,2세트 모두 빠르게 DRX를 상대로 승기를 굳혔다. 정지훈은 그 이유로 ‘피넛’ 한왕호를 꼽았다. 그는 “피넛선수가 있기 때문에 가능한 것 같다”며 한왕호의 존재로 인해 팀이 빠르게 승기를 굳힐 수 있다는 사실을 알렸다. 젠지의 다음 상대는 T1이다. 정지훈은 “서머 1라운드는왜 진지 알고 있다. 잘 준비하면 이길 수 있다고 본다”며 T1전 필승을 다짐했다."
"미드 상성 정리돼있는 '쵸비' 정지훈 ""T1전 패인 알고 있다…잘 준비할 것"" [LCK]",https://imgnews.pstatic.net/image/origin/311/2022/07/28/1482077.jpg,https://n.news.naver.com/mnews/article/311/0001482077?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=311&aid=0001482077,https://n.news.naver.com/sports/esports/article/311/0001482077,엑스포츠뉴스,4,0,2022-07-28T16:27:01,2022-07-28T13:40:01,"(엑스포츠뉴스 김수정 기자) '쵸비' 정지훈이 T1전 각오를 전했다. 28일 서울 종로구에 위치한 롤파크에서는 '2022 LCK 서머' 2라운드, 젠지 대 DRX의 경기가 치러졌다. 이날 완벽한 경기력을 자랑하며 1, 2세트 모두 압도적인 승리를 거둔 젠지는 6연승을 달성하는 동시에 1위를 탈환하는 데 성공했다. 경기가 끝난 후 진행된 라이엇 공식 인터뷰에서 '도란' 최현준은 ""이번 주가 중요한 경기라고 생각했는데 2-0으로 깔끔하게 이겨서 다행이라고 생각한다""라는 소감을 전했다. 정지훈 역시 ""DRX가 잘하는 팀이라고 생각하는데 깔끔하게 이겨서 다행이다""라고 말했다. 1세트에서 빠르게 세주아니를 가져온 최현준은 ""세주아니는 다른 챔피언보다 든든하고 나르, 갱플랭크는 많이 했기 때문에 세주아니를 선택했다""라고 밝혔다. 이어 ""1라운드 DRX전 때도 탑을 많이 오더라. 탑을 너무 많이 와서 의식을 하고 있었다""라며 '표식' 홍창현의 플레이 스타일을 파악하고 있었음을 알렸다. 최근 물오른 경기력을 보이고 있지만 본인 기량에 만족하지 않는다는 최현준은 ""(제 기량은) 평범한 수준이라고 생각한다. 더 잘할 수 있다고 생각해서 기대를 하고 있다""라고 털어놨다. 1, 2세트 모두 아리를 픽한 정지훈은 ""미드 챔피언은 상성 같은 게 정리돼있어서 상대가 무엇을 하면 저는 무엇을 할 수 있다는 걸 알고 그에 따라 조합을 맞추는데 그게 아리였다""라고 설명했다. 아리로 11전 전승을 달리고 있는 것에 대해서는 ""잘 모르겠지만 기본기가 좋아서 승률이 잘 나오는 것 같다""라며 ""제 아리 별거 없으니까 상대해도 될 것 같다""라고 말했다. 금일 경기에서 글로벌 골드 차이를 크게 벌렸던 젠지. 이에 관해 정지훈은 ""저희 (한)왕호 형이 잘해서 그런 골드 차이가 나온 것 같다""라고 전했고, 최현준 역시 '피넛' 덕분이라고 밝혔다. 곧 T1을 상대하게 될 정지훈은 ""스프링 시즌에는 여러 이슈가 있어서 (T1에게) 진 거고, 1라운드에서는 왜 진 것인지 알고 있으니까 잘 준비하면 이길 수 있을 것 같다""라고 강조했다. 앞서 젠지를 꺾으면 춤을 추겠다는 공약을 내세운 '구마유시' 이민형. 이에 맞서 정지훈은 최현준에게 ""T1 사옥에 노래방이 있다고 들었는데 이기면 T1 노래방에 가서 노래를 부르는 게 어떠냐""라고 제안했고, 최현준은 ""그런 것보다는 저도 한 춤 추기 때문에 제가 추도록 하겠다""라는 공약을 걸었다. 사진=엑스포츠뉴스DB"
"[LCK] '6연승' 젠지, T1과 5세트 차 1위…팀 순위 &lt; 7월 28일 기준 &gt;",https://imgnews.pstatic.net/image/origin/347/2022/07/28/165032.jpg,https://n.news.naver.com/mnews/article/347/0000165032?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165032,https://n.news.naver.com/sports/esports/article/347/0000165032,데일리e스포츠,5,0,2022-07-28T13:38:01,2022-07-28T13:38:01,젠지.   ◆2022 리그 오브 레전드 챔피언스 코리아(LCK) 서머 팀 순위 < 7월 28일 기준 > 순위 이름 승패 세트득실(세트승-세트패) 1위 젠지 12승 1패 +22(25-3) 2위 T1 12승 1패 +17(25-8) 3위 담원 기아 9승 4패 +12(21-9) 4위 리브 샌드박스 8승 5패 +5(17-12) 5위 kt 롤스터 7승 6패 +2(17-15) 6위 디알엑스 7승 6패 0(16-16) 7위 광동 프릭스 4승 8패 -10(9-19) 8위 농심 레드포스 3승 10패 -14(8-22) 9위 프레딧 브리온 1승 11패 -17(5-22) 10위 한화생명 1승 12패 -17(8-25)
"‘6연승’ 젠지, DRX 잡고 선두 탈환",https://imgnews.pstatic.net/image/origin/005/2022/07/28/1543011.jpg,https://n.news.naver.com/mnews/article/005/0001543011?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=005&aid=0001543011,https://n.news.naver.com/sports/esports/article/005/0001543011,국민일보,6,0,2022-07-28T13:21:01,2022-07-28T13:21:01,"젠지가 DRX를 잡고 리그 선두로 복귀했다. 젠지는 28일 서울 종로구 LCK 아레나에서 열린 ‘2022 LoL 챔피언스 코리아(LCK)’ 서머 시즌 정규 리그 2라운드 경기에서 DRX에 2대 0으로 이겼다. 6경기 연속으로 승리 세리머니를 선보인 이들은 12승1패(+22)를 누적해 T1(12승1패 +17)을 제치고 다시 리그 선두가 됐다. 젠지는 두 세트 모두 압도적인 경기력을 과시했다. 라인전에서부터 상대를 눌렀고, 운영 단계에서도 큰 실수 없이 게임을 풀어나갔다. 1세트 땐 제리를 플레이해 승점을 챙겼고, 2세트 땐 반대로 상대에게 제리를 내준 뒤 칼리스타로 응징했다. ‘룰러’ 박재혁이 칼리스타로 좋은 활약을 펼쳐 DRX의 라인전을 마비시켰다. 젠지는 ‘표식’ 홍창현(리 신)에게 한 차례 내셔 남작 버프를 빼앗기기도 했지만, 금세 기력을 회복했다. 이들은 드래곤 둥지로 상대를 유인한 뒤 복수의 킬을 따내 승리를 확정지었다."
"[LCK] 젠지 파죽의 6연승, 디알엑스 셧아웃 선두 ‘재탈환’(종합)",https://imgnews.pstatic.net/image/origin/109/2022/07/28/4667603.jpg,https://n.news.naver.com/mnews/article/109/0004667603?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=109&aid=0004667603,https://n.news.naver.com/sports/esports/article/109/0004667603,OSEN,7,0,2022-07-28T13:18:04,2022-07-28T13:18:04,"[OSEN=종로, 고용준 기자] 이제는 T1과 정상 대전만 남았다. 최근 분위기를 추스린 디알엑스도 젠지의 상대가 되지 못했다. 젠지가 파죽의 6연승과 함께 선두 자리를 되찾았다. 젠지는 28일 오후 서울 종로 롤파크 LCK아레나에서 열린 ‘2022 LOL 챔피언스 코리아(이하 LCK)’ 서머 디알엑스와 2라운드 경기서 압도적인 화력의 힘을 보이면서 2-0 완승을 거뒀다. 이 승리로 6연승을 달린 젠지는 시즌 12승(1패 득실 +22)째를 올리면서 내줬던 선두 자리를 하루만에 다시 찾았다. 3연승을 노렸던 디알엑스는 시즌 6패(7승 득실 0)째를 당하면서 다시 6위 자리로 내려갔다. 세주아니-뽀삐-아리-제리-라칸으로 돌진 조합을 꾸린 젠지가 디알엑스의 변칙 조합을 서전부터 압도했다. 디알엑스가 초반 설계로 탑에서 득점에 성공했지만, ‘도란’은 ‘표식’의 오공을 같이 데려가면서 그 효과를 반감시켰다. 오히려 스노우볼을 굴려나간 젠지는 성장한 제리와 아리의 한타 조율로 화력에서 디알엑스를 압도하면서 17-4로 33분만에 1세트를 손쉽게 정리했다. 2세트는 더욱 압도적인 완승이었다. 디알엑스가 봇을 계속 노렸지만, ‘룰러’ 박재혁이 칼리스타로 신들린 활약을 펼치면서 일찌감치 승부가 젠지쪽으로 기울었다. 승기를 잡은 젠지의 공세는 그야말로 무차별적인 학살극이었다. 15분 만에 글로벌골드 1만 이상의 격차를 벌리면서 27-9라는 압도적인 차이로 경기를 매조지었다. / scrapper@osen.co.kr"
"'전 라인 압승' 젠지, DRX 경기력 봉쇄하며 '1위 탈환' [LCK]",https://imgnews.pstatic.net/image/origin/311/2022/07/28/1482070.jpg,https://n.news.naver.com/mnews/article/311/0001482070?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=311&aid=0001482070,https://n.news.naver.com/sports/esports/article/311/0001482070,엑스포츠뉴스,8,0,2022-07-28T13:08:01,2022-07-28T13:08:01,"(엑스포츠뉴스 김수정 기자) 젠지가 1위를 탈환했다. 28일 서울 종로구에 위치한 롤파크에서는 '2022 LCK 서머' 2라운드, 젠지 대 DRX의 경기가 치러졌다. 이날 젠지에서는 '도란' 최현준, '피넛' 한왕호, '쵸비' 정지훈, '룰러' 박재혁, '리헨즈' 손시우가 출전했고, DRX에서는 '킹겐' 황성훈, '표식' 홍창현, '제카' 김건우, '데프트' 김혁규, '베릴' 조건희가 나왔다. 2세트에서 DRX는 오른, 리신, 탈리야, 제리, 룰루를 픽했고, 젠지는 갱플랭크, 바이, 아리, 칼리스타, 레나타 글라스크를 선택했다. 선취점은 미드에서 나왔다. '피넛'은 미드 갱킹을 시도해 '제카'를 터뜨렸지만, '표식'이 빠르게 합류하면서 '제카'와 '쵸비', '표식'과 '피넛'이 교환됐다. 바텀에서도 싸움이 났지만, 젠지가 압도적인 승리를 거뒀다. DRX가 먼저 싸움을 걸었지만, '룰러'의 슈퍼 플레이에 역공을 당하며 되레 2킬을 내주고 말았다. '피넛'이 미드 갱킹을 통해 다시 한번 '제카'를 무너뜨린 가운데, '표식'은 바텀 갱킹을 성공시키며 '데프트'에게 '룰러'의 제압킬을 먹였지만, 포탑 쪽으로 빨려 들어가면서 '베릴'을 잃게 됐다. 전 라인 주도권을 갖고 있던 젠지는 깔끔하게 첫 전령을 가져간 후 첫 번째 드래곤인 화염용까지 처치하며 오브젝트를 독식했다. 전령을 통해 미드 1차를 파괴한 젠지는 끊임없이 킬을 내며 순식간에 미드 2차까지 밀어냈고, 두 번째 드래곤인 바다용을 섭취하며 경기 흐름을 완벽히 가져갔다. 탑에서 '킹겐'을 자른 젠지는 두 번째 전령을 획득하며 만 골드 이상의 차이를 냈다. 이후 바론 쪽에서 '베릴'과 '데프트'를 터뜨린 젠지는 '피넛'과 '리헨즈'를 잃었지만 '킹겐'을 잡고 미드 2차 포탑을 철거했다. 다시 바론을 치기 시작한 젠지. DRX는 이 타이밍을 놓치지 않고 공격을 퍼부으며 바론을 뺏은 후 '피넛'과 리헨즈'를 잡는 최선의 플레이를 펼쳤다. 세 번째 드래곤인 대지용까지 젠지가 가져간 상황, DRX는 '도란' 자르기를 시도했지만 실패했고 되레 '킹겐'을 잃었다. 미드에서 '베릴'을 터뜨린 젠지는 네 번째 드래곤인 대지용을 처치하며 영혼을 획득한 후 미드로 향해 그대로 넥서스를 파괴했다. 사진=엑스포츠뉴스DB"
"[LCK] 순식간에 벌어진 골드…젠지, 압도적 경기력으로 6연승",https://imgnews.pstatic.net/image/origin/347/2022/07/28/165031.jpg,https://n.news.naver.com/mnews/article/347/0000165031?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165031,https://n.news.naver.com/sports/esports/article/347/0000165031,데일리e스포츠,9,0,2022-07-28T13:05:01,2022-07-28T13:05:01,"젠지e스포츠가 16분 만에 1만 골드 차이를 내는 파괴적인 경기력으로 디알엑스를 격파했다. 젠지가 28일 서울 종로구 그랑서울 LCK아레나에서 진행된 2022 리그 오브 레전드 챔피언스 코리아 서머 2라운드에서 디알엑스를 2대0으로 완파했다. 압도적인 경기력으로 1세트를 따낸 젠지는 이어진 2세트에서도 빠른 속도로 경기를 굴리며 완승을 거뒀다.  젠지는 경기 초반부터 모든 라인에서 주도권을 잡으며 이득을 보기 시작했다. 미드에서 아리-바이 조합을 활용에 포탑 다이브를 성공시켰고, 이어진 바텀 전투에서는 '룰러' 박재혁이 칼리스타로 침착하게 대미지를 넣으며 더블 킬을 기록했다.  흐름을 잡은 젠지는 연이어 미드에서 '쵸비' 정지훈이 킬을 기록했다. 동시에 리신을 플레이한 '표식' 홍창현의 갱킹으로 칼리스타를 플레이한 박재혁이 잡혔지만 이후 '피넛' 한왕호가 바이로 바텀을 찌르며 손해를 만회했다.  9분 한왕호가 바이로 첫 번째 전령을 챙기는 사이 바텀 듀오가 다시 한번 이득을 챙겼다. 날카로운 킬각으로 박재혁이 칼리스타로 다시 한번 더블 킬을 기록했고 동시에 상체는 탑 다이브를 성공시키며 '킹겐' 황성훈의 오른을 잡아냈다.  빠르게 경기를 굴려 나간 젠지는 첫 번째 드래곤을 가져가면서 속도를 올렸다. 10분에 4000 골드 이상을 벌린 젠지는 완벽하게 흐름을 잡으며 상대 정글 시야까지 완벽하게 장악했다.   기세를 잡은 젠지는 조합의 강점을 살리며 계속해서 상대를 잡아냈다. 16분 만에 1만 골드 차이를 낸 젠지는 착실하게 드래곤 스택까지 쌓으며 빈틈없는 경기를 이어 나갔다.  21분 전투에서 젠지는 다시 한번 승리를 거뒀다. 이어진 바론 시도에서 홍창현의 리신에게 스틸을 당했고 전투에서도 손해를 봤지만 대세에는 영향을 끼치지 못했다. 정비를 마친 젠지는 세 번째 드래곤 스택을 쌓으면서 다시 차분하게 경기를 이어갔다. 침착하게 기회를 엿본 젠지는 29분 전투에서 승리를 거뒀다. 그대로 상대 주요 건물을 모두 파괴한 젠지는 경기를 마무리하며 6연승을 달성했다."
[LCK 서머] 1위 내놔 T1! 섬뜩한 젠지의 경기력... DRX 압살,https://imgnews.pstatic.net/image/origin/442/2022/07/28/152152.jpg,https://n.news.naver.com/mnews/article/442/0000152152?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=442&aid=0000152152,https://n.news.naver.com/sports/esports/article/442/0000152152,인벤,10,0,2022-07-28T13:05:01,2022-07-28T13:05:01,"젠지 e스포츠가 DRX를 상대로 깔끔하게 승리했다. 아니, 깔끔을 넘어선 공포에 가까운 경기력이었다. 경기 후반, DRX도 포기하지 않는 집념을 보여주며 대역전승의 꿈을 꿨지만, 현실은 녹록하지 않았다. 젠지는 초반부터 흐름을 빠르게 가져왔다. 첫 대상은 '제카' 김건우의 탈리야였다. '쵸비' 정지훈의 아리와 '피넛' 한왕호의 바이가 다이브로 깔끔히 킬을 가져왔다. DRX는 뒤늦게 도착한 '표식' 홍창현의 라 신이 킬을 만회한 건 천만다행이었다. 젠지의 속도는 여기서 멈추지 않았다. 바텀에서도 '룰러' 박재혁의 칼리스타가 더블킬을 기록하며 균형이 무너지기 시작했다. 리 신의 활약으로 바텀에서 칼리스타를 잡아 제압킬을 달성하긴 했으나 다음 전투에선 다시 패배했고, 미드와 탑 모두 DRX의 전사 소식밖에 들리지 않았다. 12분 만에 글로벌 골드는 5천 가량으로 벌어졌다. 5천 차이는 시작에 불과했다. DRX의 속도는 젠지를 따라가기 너무 벅찼다. 젠지의 속도는 시간이 지날수록 가속도가 붙었고, 상대적으로 DRX는 더 뒤처졌다. 17분 기준 양 팀의 글로벌 골드는 1만 골드.  젠지는 벌써 경기를 끝내기 위한 작업에 돌입했다. 그러나 DRX도 포기하지 않았다. 이미 힘으로는 절대 상대를 뒤집을 수 없는 상황, 유일한 노림수는 상대의 실수를 놓치지 않는 것 뿐이었다. 그리고 '표식'의 리 신이 바론을 스틸했고, 상대의 무리수를 받아내 제리의 성장 시간을 벌었다. 슬슬 고개를 내밀어야 할 타이밍, DRX가 먼저 갱플랭크를 노렸다. 그런데 오히려 오른이 빨려들어가는 결과를 초래했고, 결국 젠지가 30분 만에 상대를 제압해 단독 1위 자리를 다시 찾아왔다. ■ 2022 LCK 서머 스플릿 정규 시즌 32일 차 결과 1경기  농심 레드포스 2  VS 1 리브 샌드박스 1세트  농심 레드포스 승  VS 패 리브 샌드박스 2세트 농심 레드포스 패 VS  승 리브 샌드박스 3세트  농심 레드포스 승  VS 패 리브 샌드박스 2경기  젠지 e스포츠 2  VS 0 DRX 1세트  젠지 e스포츠 승  VS 패 DRX 2세트  젠지 e스포츠 승  VS 패 DRX ■ 2022 LCK 서머 스플릿 정규 시즌 순위 현황 1위 젠지 e스포츠 12승 1패 +22 2위 T1 12승 1패 +17 3위 담원 기아 9승 4패 +12   4위 리브 샌드박스 8승 5패 +5 5위 kt 롤스터 7승 6패 +2 6위 DRX 7승 6패 +0 7위 광동 프릭스 4승 8패 -10 8위 농심 레드포스 3승 10패 -14   9위 프레딧 브리온 1승 11패 -17 10위 한화생명e스포츠 1승 12패 -17 ■ 2022 LCK 서머 스플릿 정규 시즌 33일 차 일정 1경기 프레딧 브리온 VS 광동 프릭스 - 29일 오후 5시 2경기 담원 기아 VS kt 롤스터"
